,nasid,position,ts,mac,controllerid,pwr,count
3040,4589,center,2018-02-13 12:52:30,18:dc:56:8c:27:56,"[2, 3]","[-68.47058823529412, -83.5]",2
3041,4589,center,2018-02-13 12:52:31,18:dc:56:8c:27:56,[1],[-43.857142857142854],1
3042,4589,center,2018-02-13 12:52:32,18:dc:56:8c:27:56,[4],[-74.33333333333333],1
3043,4589,center,2018-02-13 12:52:33,18:dc:56:8c:27:56,[2],[-67.63636363636364],1
3044,4589,center,2018-02-13 12:52:34,18:dc:56:8c:27:56,"[3, 4]","[-82.66666666666667, -74.0]",2
3045,4589,center,2018-02-13 12:52:35,18:dc:56:8c:27:56,[1],[-44.7],1
3046,4589,center,2018-02-13 12:52:38,18:dc:56:8c:27:56,[2],[-67.54545454545455],1
3047,4589,center,2018-02-13 12:52:39,18:dc:56:8c:27:56,"[3, 4]","[-83.63636363636364, -73.9]",2
3048,4589,center,2018-02-13 12:52:42,18:dc:56:8c:27:56,"[2, 3, 4]","[-68.0, -83.0, -75.0]",3
3049,4589,center,2018-02-13 12:52:43,18:dc:56:8c:27:56,[1],[-46.55],1
3050,4589,center,2018-02-13 12:52:44,18:dc:56:8c:27:56,[1],[-43.42857142857143],1
3051,4589,center,2018-02-13 12:52:46,18:dc:56:8c:27:56,[3],[-82.8],1
3052,4589,center,2018-02-13 12:52:47,18:dc:56:8c:27:56,"[2, 4]","[-68.18181818181819, -72.625]",2
3053,4589,center,2018-02-13 12:52:49,18:dc:56:8c:27:56,[1],[-43.2],1
3054,4589,center,2018-02-13 12:52:50,18:dc:56:8c:27:56,[4],[-73.45454545454545],1
3055,4589,center,2018-02-13 12:52:52,18:dc:56:8c:27:56,[3],[-83.5],1
3056,4589,center,2018-02-13 12:52:54,18:dc:56:8c:27:56,"[1, 2]","[-43.68421052631579, -67.72727272727273]",2
3057,4589,center,2018-02-13 12:52:55,18:dc:56:8c:27:56,[4],[-73.42857142857143],1
3058,4589,center,2018-02-13 12:52:57,18:dc:56:8c:27:56,[3],[-84.6],1
3059,4589,center,2018-02-13 12:52:59,18:dc:56:8c:27:56,[2],[-69.33333333333333],1
3060,4589,center,2018-02-13 12:53:00,18:dc:56:8c:27:56,"[1, 3, 4]","[-43.375, -82.57142857142857, -73.16666666666667]",3
3061,4589,center,2018-02-13 12:53:03,18:dc:56:8c:27:56,[4],[-73.5],1
3062,4589,center,2018-02-13 12:53:04,18:dc:56:8c:27:56,[1],[-44.375],1
3063,4589,center,2018-02-13 12:53:05,18:dc:56:8c:27:56,[2],[-69.375],1
3064,4589,center,2018-02-13 12:53:06,18:dc:56:8c:27:56,[3],[-83.0],1
3065,4589,center,2018-02-13 12:53:08,18:dc:56:8c:27:56,[4],[-72.86666666666666],1
3066,4589,center,2018-02-13 12:53:09,18:dc:56:8c:27:56,"[1, 3]","[-44.4375, -84.2]",2
3067,4589,center,2018-02-13 12:53:10,18:dc:56:8c:27:56,[2],[-68.77777777777777],1
3068,4589,center,2018-02-13 12:53:12,18:dc:56:8c:27:56,[4],[-73.27272727272727],1
3069,4589,center,2018-02-13 12:53:14,18:dc:56:8c:27:56,[3],[-86.0],1
3070,4589,center,2018-02-13 12:53:15,18:dc:56:8c:27:56,[1],[-43.888888888888886],1
3071,4589,center,2018-02-13 12:53:16,18:dc:56:8c:27:56,"[2, 4]","[-66.6, -72.5]",2
3072,4589,center,2018-02-13 12:53:17,18:dc:56:8c:27:56,[3],[-83.8],1
3073,4589,center,2018-02-13 12:53:19,18:dc:56:8c:27:56,"[1, 4]","[-45.0, -74.0]",2
3074,4589,center,2018-02-13 12:53:20,18:dc:56:8c:27:56,[2],[-68.11111111111111],1
3075,4589,center,2018-02-13 12:53:21,18:dc:56:8c:27:56,[3],[-82.0],1
3076,4589,center,2018-02-13 12:53:24,18:dc:56:8c:27:56,"[1, 4]","[-44.8421052631579, -75.25]",2
3077,4589,center,2018-02-13 12:53:25,18:dc:56:8c:27:56,[3],[-83.16666666666667],1
3078,4589,center,2018-02-13 12:53:26,18:dc:56:8c:27:56,[2],[-68.375],1
3079,4589,center,2018-02-13 12:53:29,18:dc:56:8c:27:56,"[1, 3, 4]","[-42.9, -82.25, -72.875]",3
3080,4589,center,2018-02-13 12:53:31,18:dc:56:8c:27:56,[2],[-69.52941176470588],1
3081,4589,center,2018-02-13 12:53:32,18:dc:56:8c:27:56,[4],[-74.6],1
3082,4589,center,2018-02-13 12:53:33,18:dc:56:8c:27:56,"[1, 3]","[-42.8, -80.2]",2
3083,4589,center,2018-02-13 12:53:34,18:dc:56:8c:27:56,[2],[-70.0],1
3084,4589,center,2018-02-13 12:53:35,18:dc:56:8c:27:56,[4],[-75.11111111111111],1
3085,4589,center,2018-02-13 12:53:36,18:dc:56:8c:27:56,"[1, 3]","[-48.6, -81.6]",2
3086,4589,center,2018-02-13 12:53:38,18:dc:56:8c:27:56,[4],[-75.0],1
3087,4589,center,2018-02-13 12:53:39,18:dc:56:8c:27:56,"[2, 3]","[-69.16666666666667, -82.875]",2
3088,4589,center,2018-02-13 12:53:41,18:dc:56:8c:27:56,"[1, 4]","[-44.05263157894737, -77.0]",2
3089,4589,center,2018-02-13 12:53:42,18:dc:56:8c:27:56,[3],[-84.33333333333333],1
3090,4589,center,2018-02-13 12:53:43,18:dc:56:8c:27:56,[2],[-69.44444444444444],1
3091,4589,center,2018-02-13 12:53:46,18:dc:56:8c:27:56,[1],[-44.09090909090909],1
3092,4589,center,2018-02-13 12:53:47,18:dc:56:8c:27:56,"[3, 4]","[-82.0, -74.0]",2
3093,4589,center,2018-02-13 12:53:48,18:dc:56:8c:27:56,[2],[-68.72222222222223],1
3094,4589,center,2018-02-13 12:53:51,18:dc:56:8c:27:56,[4],[-72.8],1
3095,4589,center,2018-02-13 12:53:52,18:dc:56:8c:27:56,[1],[-44.388888888888886],1
3096,4589,center,2018-02-13 12:53:53,18:dc:56:8c:27:56,[3],[-84.25],1
3097,4589,center,2018-02-13 12:53:55,18:dc:56:8c:27:56,[4],[-73.0],1
3098,4589,center,2018-02-13 12:53:56,18:dc:56:8c:27:56,"[1, 2, 3]","[-43.916666666666664, -68.75, -82.66666666666667]",3
3099,4589,center,2018-02-13 12:53:58,18:dc:56:8c:27:56,[4],[-76.4],1
3100,4589,center,2018-02-13 12:54:00,18:dc:56:8c:27:56,[2],[-69.4],1
3101,4589,center,2018-02-13 12:54:01,18:dc:56:8c:27:56,"[1, 3]","[-44.266666666666666, -81.33333333333333]",2
3102,4589,center,2018-02-13 12:54:03,18:dc:56:8c:27:56,[4],[-73.2],1
3103,4589,center,2018-02-13 12:54:05,18:dc:56:8c:27:56,"[2, 3]","[-70.05882352941177, -83.28571428571429]",2
3104,4589,center,2018-02-13 12:54:06,18:dc:56:8c:27:56,[1],[-50.411764705882355],1
3105,4589,center,2018-02-13 12:54:07,18:dc:56:8c:27:56,[4],[-76.625],1
3106,4589,center,2018-02-13 12:54:08,18:dc:56:8c:27:56,[3],[-82.4],1
3107,4589,center,2018-02-13 12:54:09,18:dc:56:8c:27:56,[2],[-69.27777777777777],1
3108,4589,center,2018-02-13 12:54:10,18:dc:56:8c:27:56,"[1, 4]","[-48.5, -75.66666666666667]",2
3109,4589,center,2018-02-13 12:54:12,18:dc:56:8c:27:56,[3],[-83.77777777777777],1
3110,4589,center,2018-02-13 12:54:15,18:dc:56:8c:27:56,"[2, 4]","[-67.58333333333333, -77.6]",2
3111,4589,center,2018-02-13 12:54:16,18:dc:56:8c:27:56,"[1, 3]","[-44.45454545454545, -82.75]",2
3112,4589,center,2018-02-13 12:54:17,18:dc:56:8c:27:56,[4],[-79.0],1
3113,4589,center,2018-02-13 12:54:18,18:dc:56:8c:27:56,[2],[-67.33333333333333],1
3114,4589,center,2018-02-13 12:54:19,18:dc:56:8c:27:56,"[1, 3]","[-46.09090909090909, -84.0]",2
3115,4589,center,2018-02-13 12:54:20,18:dc:56:8c:27:56,[4],[-72.33333333333333],1
3116,4589,center,2018-02-13 12:54:22,18:dc:56:8c:27:56,"[2, 3]","[-66.75, -84.0]",2
3117,4589,center,2018-02-13 12:54:23,18:dc:56:8c:27:56,"[1, 4]","[-45.75, -76.28571428571429]",2
3118,4589,center,2018-02-13 12:54:29,18:dc:56:8c:27:56,[3],[-81.42857142857143],1
3119,4589,center,2018-02-13 12:54:30,18:dc:56:8c:27:56,"[1, 2, 4]","[-42.63157894736842, -63.95, -74.92307692307692]",3
3120,4589,center,2018-02-13 12:54:34,18:dc:56:8c:27:56,[3],[-83.0],1
3121,4589,center,2018-02-13 12:54:36,18:dc:56:8c:27:56,[4],[-76.5],1
3122,4589,center,2018-02-13 12:54:37,18:dc:56:8c:27:56,[2],[-65.05],1
3123,4589,center,2018-02-13 12:54:40,18:dc:56:8c:27:56,"[1, 3]","[-43.241379310344826, -80.83333333333333]",2
3124,4589,center,2018-02-13 12:54:41,18:dc:56:8c:27:56,[4],[-77.0],1
3125,4589,center,2018-02-13 12:54:44,18:dc:56:8c:27:56,[2],[-63.5],1
3126,4589,center,2018-02-13 12:54:46,18:dc:56:8c:27:56,"[1, 3]","[-43.0, -83.0909090909091]",2
3127,4589,center,2018-02-13 12:54:47,18:dc:56:8c:27:56,[4],[-73.92307692307692],1
3128,4589,center,2018-02-13 12:54:49,18:dc:56:8c:27:56,[2],[-65.73333333333333],1
3129,4589,center,2018-02-13 12:54:50,18:dc:56:8c:27:56,"[3, 4]","[-85.0, -74.75]",2
3130,4589,center,2018-02-13 12:54:51,18:dc:56:8c:27:56,[1],[-45.833333333333336],1
3131,4589,center,2018-02-13 12:54:54,18:dc:56:8c:27:56,"[2, 3, 4]","[-68.0, -80.55555555555556, -73.4]",3
3132,4589,center,2018-02-13 12:54:58,18:dc:56:8c:27:56,"[3, 4]","[-79.33333333333333, -72.85714285714286]",2
3133,4589,center,2018-02-13 12:55:00,18:dc:56:8c:27:56,[2],[-69.25],1
3134,4589,center,2018-02-13 12:55:03,18:dc:56:8c:27:56,"[3, 4]","[-81.42857142857143, -77.0]",2
3135,4589,center,2018-02-13 12:55:07,18:dc:56:8c:27:56,[1],[-46.68181818181818],1
3136,4589,center,2018-02-13 12:55:09,18:dc:56:8c:27:56,"[1, 4]","[-47.73684210526316, -78.66666666666667]",2
3137,4589,center,2018-02-13 12:55:10,18:dc:56:8c:27:56,"[2, 3]","[-67.5, -81.66666666666667]",2
3138,4589,center,2018-02-13 12:55:13,18:dc:56:8c:27:56,[4],[-75.5],1
3139,4589,center,2018-02-13 12:55:14,18:dc:56:8c:27:56,"[1, 3]","[-46.5625, -81.5]",2
3140,4589,center,2018-02-13 12:55:16,18:dc:56:8c:27:56,[2],[-67.33333333333333],1
3141,4589,center,2018-02-13 12:55:17,18:dc:56:8c:27:56,[4],[-74.0],1
3142,4589,center,2018-02-13 12:55:21,18:dc:56:8c:27:56,"[1, 3]","[-48.0, -83.36363636363636]",2
3143,4589,center,2018-02-13 12:55:23,18:dc:56:8c:27:56,[4],[-74.8],1
3144,4589,center,2018-02-13 12:55:24,18:dc:56:8c:27:56,[2],[-67.3076923076923],1
3145,4589,center,2018-02-13 12:55:28,18:dc:56:8c:27:56,[3],[-80.42857142857143],1
3146,4589,center,2018-02-13 12:55:30,18:dc:56:8c:27:56,[1],[-48.6875],1
3147,4589,center,2018-02-13 12:55:31,18:dc:56:8c:27:56,[2],[-66.86666666666666],1
3148,4589,center,2018-02-13 12:55:33,18:dc:56:8c:27:56,"[3, 4]","[-82.2, -76.5]",2
3149,4589,center,2018-02-13 12:55:36,18:dc:56:8c:27:56,[1],[-50.15],1
3150,4589,center,2018-02-13 12:55:40,18:dc:56:8c:27:56,"[2, 3]","[-66.9375, -80.91666666666667]",2
3151,4589,center,2018-02-13 12:55:43,18:dc:56:8c:27:56,[4],[-77.0],1
