,nasid,position,ts,mac,controllerid,pwr,count
40,4589,center,2018-02-13 11:34:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-49.539568345323744, -36.83229813664596, -74.88172043010752, -76.95121951219512]",4
41,4589,center,2018-02-13 11:35:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-53.69375, -37.457142857142856, -75.39583333333333, -78.8936170212766]",4
42,4589,center,2018-02-13 11:36:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-53.7578125, -39.26946107784431, -75.75, -78.84615384615384]",4
43,4589,center,2018-02-13 11:37:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-50.78888888888889, -39.651315789473685, -75.7094017094017, -78.45238095238095]",4
44,4589,center,2018-02-13 11:38:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-49.7037037037037, -40.244680851063826, -74.26490066225166, -78.98214285714286]",4
45,4589,center,2018-02-13 11:39:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-50.4375, -43.986666666666665, -74.28662420382166, -80.54545454545455]",4
46,4589,center,2018-02-13 11:40:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-48.28901734104046, -41.72375690607735, -77.08823529411765, -78.875]",4
47,4589,center,2018-02-13 11:41:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-47.435374149659864, -44.61392405063291, -77.7280701754386, -79.83333333333333]",4
48,4589,center,2018-02-13 11:42:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-50.96296296296296, -46.735099337748345, -74.08496732026144, -78.13793103448276]",4
49,4589,center,2018-02-13 11:43:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-52.7536231884058, -47.51655629139073, -75.7244094488189, -77.8913043478261]",4
50,4589,center,2018-02-13 11:44:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-53.714285714285715, -47.78857142857143, -75.74436090225564, -78.37837837837837]",4
51,4589,center,2018-02-13 11:45:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-48.84313725490196, -48.61379310344827, -77.91089108910892, -75.67021276595744]",4
52,4589,center,2018-02-13 11:46:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-50.24516129032258, -49.67391304347826, -78.3076923076923, -74.39393939393939]",4
53,4589,center,2018-02-13 11:47:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-49.23270440251572, -50.53846153846154, -75.61111111111111, -73.92424242424242]",4
54,4589,center,2018-02-13 11:48:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-47.032679738562095, -51.439490445859875, -77.29523809523809, -75.07246376811594]",4
55,4589,center,2018-02-13 11:49:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-46.1840490797546, -51.49390243902439, -78.16883116883118, -72.06741573033707]",4
56,4589,center,2018-02-13 11:50:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-41.69767441860465, -52.279761904761905, -79.47945205479452, -71.77981651376147]",4
57,4589,center,2018-02-13 11:51:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-44.005494505494504, -55.85616438356164, -77.50806451612904, -72.21929824561404]",4
58,4589,center,2018-02-13 11:52:00,80:58:f8:d8:ad:e1,"[1, 2, 3, 4]","[-42.84357541899441, -56.57615894039735, -76.5, -73.64963503649635]",4
