controllerid,count,index,nasid,position,pwr,ts
1 2 3 4,4,23.0,4589,center,-63.523809523809526 -47.88297872340426 -76.08536585365853 -81.0,18:53
1 2 3 4,4,24.0,4589,center,-65.02739726027397 -49.76190476190476 -73.68656716417911 -82.5,18:54
1 2 3 4,4,26.0,4589,center,-75.48275862068965 -62.38028169014085 -76.18333333333334 -81.28571428571429,18:56
1 2 3 4,4,27.0,4589,center,-74.64444444444445 -65.25531914893617 -72.79166666666667 -83.0,18:57
1 2 3 4,4,28.0,4589,center,-75.80952380952381 -66.28 -72.76271186440678 -79.25,18:58
1 2 3 4,4,29.0,4589,center,-79.45 -69.2258064516129 -72.22857142857143 -81.25,18:59
1 2 3 4,4,30.0,4589,center,-77.15789473684211 -69.03636363636363 -72.51515151515152 -79.57142857142857,19:00
1 2 3 4,4,31.0,4589,center,-75.62 -68.1829268292683 -68.71428571428571 -79.6,19:01
1 2 3 4,4,32.0,4589,center,-75.48837209302326 -69.0 -62.829268292682926 -72.67857142857143,19:02
1 2 3 4,4,33.0,4589,center,-76.52173913043478 -70.93478260869566 -61.095238095238095 -71.8,19:03
1 2 3 4,4,34.0,4589,center,-77.0952380952381 -74.19642857142857 -59.20238095238095 -73.3921568627451,19:04
1 2 3 4,4,35.0,4589,center,-78.88571428571429 -71.8125 -56.41379310344828 -70.77272727272727,19:05
1 2 3 4,4,36.0,4589,center,-80.72972972972973 -74.71153846153847 -55.11594202898551 -70.671875,19:06
1 2 3 4,4,37.0,4589,center,-81.47058823529412 -77.375 -56.291666666666664 -70.2909090909091,19:07
1 2 3 4,4,38.0,4589,center,-81.45 -77.36666666666666 -59.95454545454545 -70.81481481481481,19:08
1 2 3 4,4,40.0,4589,center,-81.43478260869566 -77.76190476190476 -61.97402597402598 -70.51162790697674,19:10
1 2 3 4,4,41.0,4589,center,-82.57142857142857 -79.125 -59.266666666666666 -71.65853658536585,19:11
1 2 3 4,4,42.0,4589,center,-83.94117647058823 -79.02702702702703 -58.725806451612904 -69.55357142857143,19:12
1 2 3 4,4,43.0,4589,center,-84.5 -81.25 -61.310344827586206 -71.97142857142858,19:13
1 2 3 4,4,44.0,4589,center,-84.5 -85.08333333333333 -62.62903225806452 -72.625,19:14
1 2 3 4,4,45.0,4589,center,-87.33333333333333 -87.0 -69.6867469879518 -73.1639344262295,19:15
1 2 3 4,4,47.0,4589,center,-88.0 -88.0 -68.6140350877193 -72.1891891891892,19:17
1 2 3 4,4,48.0,4589,center,-87.0 -85.28571428571429 -72.70454545454545 -70.375,19:18
1 2 3 4,4,49.0,4589,center,-88.0 -85.25 -67.62068965517241 -76.6923076923077,19:19
1 2 3 4,4,50.0,4589,center,-88.0 -86.66666666666667 -68.92857142857143 -77.0952380952381,19:20
1 2 3 4,4,51.0,4589,center,-83.92307692307692 -82.85 -68.66037735849056 -76.53333333333333,19:21
1 2 3 4,4,52.0,4589,center,-85.5 -83.36842105263158 -65.85714285714286 -76.78571428571429,19:22
1 2 3 4,4,53.0,4589,center,-82.75 -80.47826086956522 -63.95652173913044 -76.35,19:23
1 2 3 4,4,54.0,4589,center,-81.625 -78.93617021276596 -68.29230769230769 -79.13333333333334,19:24
1 2 3 4,4,55.0,4589,center,-78.31666666666666 -76.2 -71.76923076923077 -79.0,19:25
1 2 3 4,4,56.0,4589,center,-79.1470588235294 -76.56 -72.75 -78.66666666666667,19:26
1 2 3 4,4,57.0,4589,center,-80.19047619047619 -73.4 -72.5 -76.16666666666667,19:27
1 2 3 4,4,59.0,4589,center,-77.94594594594595 -68.51282051282051 -77.125 -84.0,19:29
1 2 3 4,4,0.0,4589,center,-72.98461538461538 -68.52380952380952 -73.84210526315789 -85.0,19:30
1 2 3 4,4,9.0,4589,center,-61.726190476190474 -45.30434782608695 -76.73333333333333 -83.5,19:39
1 2 3 4,4,10.0,4589,center,-63.116279069767444 -49.73913043478261 -75.98333333333333 -83.0,19:40
