X,Y,Start_time,Duration (min)
0,0,05:05,2
-2,0,05:07,2
-4,0,05:09,2
-6,0,05:11,2
-8,0,05:13,2
-10,0,05:15,2
-12,0,05:17,2
-14,0,05:19,2
-16,0,05:21,2
-18,0,05:23,2
-20,0,05:25,2
-20.5,0.5,06:31,1
-20.5,2.5,06:32,1
-20.5,4.5,06:33,1
-20.5,6.5,06:34,1
-18.5,6.5,06:35,1
-16.5,6.5,06:36,1
-14.5,6.5,06:37,1
-12.5,6.5,06:38,1
-10.5,6.5,06:39,1
-8.5,6.5,06:40,1
-6.5,6.5,06:41,1
-4.5,6.5,06:42,1
-2.5,6.5,06:43,1
-0.5,6.5,06:44,1
1,6,06:45,1
1,4,06:46,1
1,2,06:47,1
0,0,06:48,1
