-1,14,84.1,23.2
-1,16,3.2,65.8
-1,15,56.2,82.8
0,5,49.7,95.2
1,7,18.8,37.1
1,4,41.7,73.4
1,8,69.2,63.3
1,1,92.1,51.2
2,10,13.8,0.5
2,11,1.0,51
2,12,46.2,63.2
2,13,96.2,55.7
3,3,28.1,28.9
3,9,46.2,63.5
3,2,56.0,63
3,6,97.2,55.2
